word,is_stop,264,265,266,268,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
absenken,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
absichern,False,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
absicherung,False,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
absicht,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
absichtlich,False,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
absolut,False,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,1.0,1.0,,7.0,2.0,,,1.0,1.0,13.0,4.0,,,1.0,3.0,,2.0
abspeichern,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
abspeicherung,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
abspielen,False,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,
absprache,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
absprechen,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
abstand,False,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,
abstecher,False,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
abstellen,False,,,,,,,,,,2.0,,,,,1.0,,,,,1.0,2.0,,,,,,,
abstellflächen,False,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
abstellgleis,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
abstellsituation,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
abstieg,False,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
abstimmen,False,,,,4.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,2.0,,,,,,,,
abstimmung,False,1.0,2.0,,4.0,,,,,1.0,2.0,3.0,,,,,,1.0,,1.0,,,,,,1.0,1.0,,2.0
abstimmungsformat,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
abstoßend,False,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
abstrakt,False,1.0,1.0,,,1.0,,,,,,,,,2.0,1.0,,,,1.0,,,,,,2.0,,,
abstrakte,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
abstreiten,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
abstrich,False,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
abstrus,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
abstruse,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
abstufung,False,,,,3.0,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,
abstumpfen,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
abstumpfung,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
absturz,False,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
abstößt,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
abstürzen,False,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
absuchen,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
absurd,False,,,3.0,1.0,1.0,2.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,
absurdester,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
absurdum,False,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
abtauchen,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
abteilung,False,,,7.0,,,,,1.0,,,,,,1.0,,3.0,,,,,,,,,2.0,,1.0,3.0
abtrennbar,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
abtrennung,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
abtropfen,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
abtun,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
abverlangen,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
abwandern,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
abwarten,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
abwehr,False,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,
abwehren,False,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
abwehrfrage,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
abwehrkampf,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
abwehrschnittstelle,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
abweichen,False,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
abweichend,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
abwenden,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
abwesenheit,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
abwicklungsausschuss,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
abwägen,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
abwägung,False,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,1.0,,2.0
abzeichnen,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
abziehen,False,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
abzielen,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
abzubilden,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
abzudaen,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
abzudecken,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
abzufeiern,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
abzugreifen,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
abzuholen,False,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
abzumahnen,False,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
abzuwägen,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
abänderung,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
academy,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
access,False,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
accessibility,False,14.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
accessoation,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
account,False,,1.0,1.0,,,,,,3.0,,,,,,1.0,1.0,6.0,,1.0,3.0,2.0,,,,,,1.0,
accountability,False,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
accountdiebstahl,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
accountpflicht,False,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
accountsicherheit,False,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
accra,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ach,True,,2.0,,,1.0,4.0,2.0,1.0,2.0,,,3.0,1.0,2.0,1.0,,2.0,,2.0,3.0,9.0,3.0,,,2.0,2.0,1.0,
achieved,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
achievement,False,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
achillesferse,False,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
achse,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
achso,False,,,,5.0,1.0,,3.0,1.0,2.0,,,2.0,,,,,,,,1.0,4.0,,,,,,3.0,
acht,True,,,2.0,,,3.0,,,,,1.0,,,1.0,,,,2.0,,,,,4.0,,,1.0,,
achteckig,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
achten,False,,,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,2.0,2.0,,,,,1.0,
achtgrößt,False,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
achtsam,False,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
achtung,False,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
act,False,,3.0,,1.0,,1.0,1.0,,,,1.0,,,,,4.0,,,,3.0,16.0,1.0,,,,1.0,,
